PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
54771,32.5959938,129.3001876,0,-1.916,48.704,1,4929,34,90
54771,32.5959938,129.3001876,0,-1.916,48.704,1,4929,34,90
54772,32.5959938,129.3001978,0,-1.925,51.351,1,4929,34,90
54773,32.595991,129.3001979,0,-2.785,51.365,1,4929,34,90
54774,32.595991,129.3001876,0,-2.757,48.699,1,4929,34,90
54778,33.0000081,129.3001471,0,2.505,38.192,1,4929,44,0
54778,33.0000081,129.3001471,0,2.505,38.192,1,4929,44,0
54779,33.000008,129.3001575,0,2.469,40.889,1,4929,44,0
54780,33.000005,129.3001575,0,1.55,40.89,1,4929,44,0
54781,33.0000051,129.3001471,0,1.556,38.194,1,4929,44,0
54782,33.0000024,129.3001471,0,0.727,38.175,1,4929,44,0
54782,33.0000024,129.3001471,0,0.727,38.175,1,4929,44,0
54783,33.0000022,129.3001575,0,0.691,40.872,1,4929,44,0
54784,32.5959996,129.3001576,0,-0.128,40.895,1,4929,34,90
54785,32.5959996,129.300147,0,-0.12,38.169,1,4929,34,90
54786,32.5959968,129.3001471,0,-0.98,38.179,1,4929,34,90
54786,32.5959968,129.3001471,0,-0.98,38.179,1,4929,34,90
54787,32.5959969,129.3001574,0,-0.957,40.852,1,4929,34,90
54788,32.5959939,129.3001575,0,-1.876,40.873,1,4929,34,90
54789,32.595994,129.3001472,0,-1.861,38.201,1,4929,34,90
54790,32.5959916,129.3001471,0,-2.581,38.184,1,4929,34,90
54790,32.5959916,129.3001471,0,-2.581,38.184,1,4929,34,90
54791,32.5959915,129.3001574,0,-2.613,40.849,1,4929,34,90
54792,32.5959891,129.3001573,0,-3.35,40.842,1,4929,34,90
54793,32.5959891,129.3001471,0,-3.346,38.18,1,4929,34,90
54794,33.0000001,129.3001453,0,0.02,37.713,1,4929,44,0
54795,32.5959889,129.3001454,0,-3.421,37.73,1,4929,34,90
54838,32.595994,129.2959565,0,-1.846,-11.302,1,4929,33,99
54839,32.595994,129.2959603,0,-1.846,-10.302,1,4929,33,99
54840,32.595994,129.2959642,0,-1.846,-9.302,1,4929,33,99
54841,32.595994,129.295968,0,-1.846,-8.302,1,4929,33,99
54842,32.595994,129.2959719,0,-1.846,-7.302,1,4929,33,99
54843,32.595994,129.2959757,0,-1.846,-6.302,1,4929,33,99
54844,32.595994,129.2959796,0,-1.846,-5.302,1,4929,33,99
54845,32.595994,129.2959834,0,-1.846,-4.302,1,4929,33,99
54846,32.595994,129.2959873,0,-1.846,-3.302,1,4929,33,99
54847,32.595994,129.2959911,0,-1.846,-2.302,1,4929,33,99
54848,32.595994,129.295995,0,-1.846,-1.302,1,4929,33,99
54849,32.595994,129.2959988,0,-1.846,-0.302,1,4929,33,99
54850,32.595994,129.3000027,0,-1.846,0.698,1,4929,34,90
54851,32.595994,129.3000065,0,-1.846,1.698,1,4929,34,90
54852,32.595994,129.3000104,0,-1.846,2.698,1,4929,34,90
54853,32.595994,129.3000142,0,-1.846,3.698,1,4929,34,90
54854,32.595994,129.3000181,0,-1.846,4.698,1,4929,34,90
54855,32.595994,129.300022,0,-1.846,5.698,1,4929,34,90
54856,32.595994,129.3000258,0,-1.846,6.698,1,4929,34,90
54857,32.595994,129.3000297,0,-1.846,7.698,1,4929,34,90
54858,32.595994,129.3000335,0,-1.846,8.698,1,4929,34,90
54859,32.595994,129.3000374,0,-1.846,9.698,1,4929,34,90
54860,32.595994,129.3000412,0,-1.846,10.698,1,4929,34,90
54861,32.595994,129.3000451,0,-1.846,11.698,1,4929,34,90
54862,32.595994,129.3000489,0,-1.846,12.698,1,4929,34,90
54863,32.595994,129.3000528,0,-1.846,13.698,1,4929,34,90
54864,32.595994,129.3000566,0,-1.846,14.698,1,4929,34,90
54865,32.595994,129.3000605,0,-1.846,15.698,1,4929,34,90
54866,32.595994,129.3000643,0,-1.846,16.698,1,4929,34,90
54867,32.595994,129.3000682,0,-1.846,17.698,1,4929,34,90
54868,32.595994,129.300072,0,-1.846,18.698,1,4929,34,90
54869,32.595994,129.3000759,0,-1.846,19.698,1,4929,34,90
54870,32.595994,129.3000797,0,-1.846,20.698,1,4929,34,90
54871,32.595994,129.3000836,0,-1.846,21.698,1,4929,34,90
54872,32.595994,129.3000874,0,-1.846,22.698,1,4929,34,90
54873,32.595994,129.3000913,0,-1.846,23.698,1,4929,34,90
54874,32.595994,129.3000952,0,-1.846,24.698,1,4929,34,90
54875,32.595994,129.300099,0,-1.846,25.698,1,4929,34,90
54876,32.595994,129.3001029,0,-1.846,26.698,1,4929,34,90
54877,32.595994,129.3001067,0,-1.846,27.698,1,4929,34,90
54878,32.595994,129.3001106,0,-1.846,28.698,1,4929,34,90
54879,32.595994,129.3001144,0,-1.846,29.698,1,4929,34,90
54880,32.595994,129.3001183,0,-1.846,30.698,1,4929,34,90
54881,32.595994,129.3001221,0,-1.846,31.698,1,4929,34,90
54882,32.595994,129.300126,0,-1.846,32.698,1,4929,34,90
54883,32.595994,129.3001298,0,-1.846,33.698,1,4929,34,90
