PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
169,0,0,0,-40.57,108.01,0,0,0,0
170,0,0,0,-41.89,107.44,0,0,0,0
171,0,0,0,-42.85,106.48,0,0,0,0
172,0,0,0,-43.31,105.37,0,0,0,0
173,0,0,0,-43.5,104.41,0,0,0,0
174,0,0,0,-43.6,103.21,0,0,0,0
175,0,0,0,-43.65,101.75,0,0,0,0
176,0,0,0,-43.7,100.3,0,0,0,0
177,0,0,0,-43.75,98.84,0,0,0,0
178,0,0,0,-3.44,37.63,0,0,0,0
179,0,0,0,0.04,37.63,0,0,0,0
180,0,0,0,0.14,52.71,0,0,0,0
181,0,0,0,3.77,52.67,0,0,0,0
182,0,0,0,0.02,37.47,0,0,0,0
183,0,0,0,-0.16,-10.57,0,0,0,0
184,0,0,0,0.11,106.05,0,0,0,0
185,0,0,0,0.07,52.6,0,0,0,0
186,0,0,0,3.98,41.24,0,0,0,0
187,0,0,0,3.41,-10.68,0,0,0,0
188,0,0,0,17.77,41.35,0,0,0,0
189,0,0,0,3.82,41.28,0,0,0,0
190,0,0,0,-3.72,-10.37,0,0,0,0
191,0,0,0,-3.61,41.12,0,0,0,0
192,0,0,0,4.01,48.31,0,0,0,0
193,0,0,0,3.75,106.54,0,0,0,0
194,0,0,0,-3.35,106.01,0,0,0,0
195,0,0,0,-3.84,48.3,0,0,0,0
196,0,0,0,16.67,48.31,0,0,0,0
197,0,0,0,3.99,48.51,0,0,0,0
198,0,0,0,-3.52,41.14,0,0,0,0
199,0,0,0,-41.75,41.46,0,0,0,0
200,0,0,0,-3.76,48.47,0,0,0,0
201,0,0,0,-41.45,48.82,0,0,0,0
202,0,0,0,-3.37,105.89,0,0,0,0
203,0,0,0,-40.58,106.13,0,0,0,0
204,0,0,0,-41.45,48.83,0,0,0,0
205,0,0,0,-40.7,106.17,0,0,0,0
